,V1,Fixed,V4,Fixed,V7,Fixed,V10,Fixed,V13
1,lassets,0.0887,0.0041,-0.0287,0.0000,-0.0003,0.9472,0.0006,0.3802
,,0.0308,,0.0068,,0.0052,,0.0007,
2,log10(kkm),-0.0006,0.9805,0.0033,0.5070,-0.0103,0.0079,0.0005,0.3926
,,0.0227,,0.0050,,0.0038,,0.0006,
3,log10(education),-0.0386,0.7627,-0.0070,0.8065,-0.0153,0.4803,-0.0023,0.3852
,,0.1279,,0.0284,,0.0217,,0.0027,
4,d_fdev,-0.0005,0.9416,-0.0006,0.6731,-0.0019,0.0920,0.0000,0.8676
,,0.0068,,0.0015,,0.0012,,0.0002,
5,log10(asset_structure + 1),-1.7930,0.0225,0.4703,0.0071,-0.3128,0.0189,-0.0083,0.6470
,,0.7834,,0.1741,,0.1329,,0.0181,
6,log10(profit_margin),-0.0574,0.0011,0.0121,0.0018,0.0000,0.9994,-0.0002,0.6599
,,0.0175,,0.0039,,0.0030,,0.0004,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
7,ageNew,-0.1008,0.0029,0.0224,0.0029,0.0064,0.2604,0.0000,0.9640
,,0.0337,,0.0075,,0.0057,,0.0008,
8,ageYoung,-0.0120,0.5664,0.0012,0.7911,-0.0050,0.1581,0.0005,0.2674
,,0.0209,,0.0046,,0.0035,,0.0005,
